Kelime,2020,2021,2022,2023,2024,2025,Total
metropolitan,0,0,3,0,0,0,3
done,0,0,1,0,0,2,3
archetypes,0,0,0,0,0,3,3
directive,0,0,1,2,0,0,3
mfd,0,3,0,0,0,0,3
arbitrageurs,3,0,0,0,0,0,3
equipment,1,1,0,0,1,0,3
mics,3,0,0,0,0,0,3
april,0,2,0,0,1,0,3
achievable,1,1,0,0,1,0,3
equality,1,1,0,0,1,0,3
disadvantage,1,0,0,1,0,1,3
approaching,0,0,1,0,1,1,3
diffusive,1,0,0,0,2,0,3
none,0,0,0,1,1,1,3
estimands,0,0,1,0,0,2,3
offgrid,0,0,3,0,0,0,3
men,0,1,0,1,0,1,3
mediumsized,0,0,1,0,2,0,3
estimable,0,1,2,0,0,0,3
mentioned,1,0,0,1,1,0,3
syria,0,0,0,0,0,2,2
distinctive,0,0,1,0,0,1,2
syrian,0,0,0,0,0,2,2
corrects,0,2,0,0,0,0,2
dmv,0,0,0,2,0,0,2
diversified,0,0,1,1,0,0,2
sustained,0,0,0,1,0,1,2
tabular,0,0,0,1,1,0,2
contrary,0,0,1,0,0,1,2
surprising,0,1,1,0,0,0,2
convenience,1,0,0,0,0,1,2
smoothness,0,0,1,0,1,0,2
convergent,0,0,0,2,0,0,2
correlates,0,0,0,0,2,0,2
surnames,0,0,0,2,0,0,2
contentious,0,0,0,0,1,1,2
sociology,2,0,0,0,0,0,2
distillation,0,2,0,0,0,0,2
diverge,0,2,0,0,0,0,2
corrupt,0,2,0,0,0,0,2
supreme,0,0,0,2,0,0,2
corresponds,1,0,0,0,1,0,2
conversion,0,2,0,0,0,0,2
takers,0,0,0,0,2,0,2
surge,0,0,1,1,0,0,2
correspondences,0,1,0,0,1,0,2
continental,0,1,0,0,1,0,2
containing,1,1,0,0,0,0,2
swbj,2,0,0,0,0,0,2
dollar,0,0,0,2,0,0,2
soft,0,0,1,1,0,0,2
drc,0,0,0,2,0,0,2
continuum,0,0,0,0,1,1,2
solidarity,2,0,0,0,0,0,2
contributed,0,0,1,0,0,1,2
solico,0,0,0,2,0,0,2
sophistication,0,0,2,0,0,0,2
snapshots,1,0,0,0,0,1,2
drastically,0,1,1,0,0,0,2
switches,1,0,1,0,0,0,2
downturns,0,0,0,0,1,1,2
switzerland,0,0,0,0,2,0,2
districtlevel,0,0,0,0,1,1,2
donor,0,0,0,0,0,2,2
someone,2,0,0,0,0,0,2
contaminated,1,1,0,0,0,0,2
cope,1,0,0,0,1,0,2
susceptible,1,0,0,0,1,0,2
dividend,0,0,0,1,1,0,2
controlvar,0,0,0,0,0,2,2
controllers,0,0,0,2,0,0,2
doordarshan,2,0,0,0,0,0,2
diversion,0,0,0,2,0,0,2
cooperate,2,0,0,0,0,0,2
downweighting,0,0,0,2,0,0,2
conversely,0,0,0,0,2,0,2
corollary,1,0,1,0,0,0,2
continuation,0,0,0,0,2,0,2
distortions,0,0,0,0,1,1,2
diversifying,0,1,0,1,0,0,2
downward,0,1,0,1,0,0,2
systemwide,0,1,0,0,1,0,2
corporations,0,0,0,0,1,1,2
distinguishes,0,0,0,1,1,0,2
contributing,0,0,1,1,0,0,2
continued,2,0,0,0,0,0,2
divisible,0,0,0,1,1,0,2
swbi,2,0,0,0,0,0,2
subsidies,0,0,2,0,0,0,2
costeffective,1,0,1,0,0,0,2
strain,0,1,1,0,0,0,2
declining,1,0,0,0,0,1,2
decompositions,0,0,0,0,0,2,2
decreasing,0,0,1,1,0,0,2
dedicated,0,0,0,0,2,0,2
deems,0,0,0,0,2,0,2
deepening,0,1,0,0,0,1,2
deeper,0,1,0,1,0,0,2
decentralization,0,1,0,1,0,0,2
dini,0,2,0,0,0,0,2
diminishing,2,0,0,0,0,0,2
stories,2,0,0,0,0,0,2
store,1,0,0,0,0,1,2
deepham,0,2,0,0,0,0,2
difficulty,0,0,0,1,0,1,2
ssprcp,0,0,0,2,0,0,2
sshaped,1,0,0,0,1,0,2
discernible,1,0,0,1,0,0,2
disaggregated,0,0,0,0,0,2,2
dayone,0,0,0,0,0,2,2
disappears,0,0,1,0,0,1,2
disagreements,1,0,0,0,0,1,2
disagreement,0,0,0,1,1,0,2
stringent,0,0,0,2,0,0,2
dealing,0,1,0,1,0,0,2
strike,0,2,0,0,0,0,2
decentralised,0,0,2,0,0,0,2
squareroot,0,0,0,0,0,2,2
death,0,1,1,0,0,0,2
debiasing,0,0,0,0,2,0,2
decarbonize,0,1,0,0,1,0,2
strengthened,1,0,0,1,0,0,2
strengthen,0,0,0,1,1,0,2
stocks,0,2,0,0,0,0,2
stockflow,2,0,0,0,0,0,2
defenses,2,0,0,0,0,0,2
descriptions,0,0,0,0,2,0,2
stands,0,0,1,0,0,1,2
deported,0,0,2,0,0,0,2
deposits,0,0,0,1,0,1,2
didint,0,0,0,0,2,0,2
deprived,1,0,0,0,1,0,2
descent,0,0,2,0,0,0,2
diagnostics,1,0,0,0,0,1,2
defines,1,0,0,0,1,0,2
stateowned,0,0,0,0,1,1,2
starts,0,0,0,0,0,2,2
detectable,1,1,0,0,0,0,2
detergents,0,0,0,2,0,0,2
stated,0,0,1,1,0,0,2
determination,1,1,0,0,0,0,2
didmultiplegtdyn,0,0,0,0,0,2,2
densities,2,0,0,0,0,0,2
demonstration,1,0,1,0,0,0,2
stakeholder,0,0,1,1,0,0,2
differentiability,0,1,0,0,1,0,2
steadily,0,1,1,0,0,0,2
steady,0,0,0,2,0,0,2
steel,0,1,0,0,0,1,2
democratising,0,2,0,0,0,0,2
stems,0,0,1,1,0,0,2
differently,1,0,1,0,0,0,2
staff,0,1,0,0,0,1,2
demandside,0,0,1,0,0,1,2
delineates,0,0,1,0,1,0,2
consumptionsavings,0,0,0,0,0,2,2
stigler,0,1,0,1,0,0,2
degradation,0,0,1,0,1,0,2
dayahead,1,0,1,0,0,0,2
date,0,1,1,0,0,0,2
distancebased,0,0,0,0,0,2,2
discriminatory,0,0,2,0,0,0,2
spatiotemporal,0,2,0,0,0,0,2
specialize,2,0,0,0,0,0,2
diseases,0,0,1,0,1,0,2
specially,0,1,0,0,1,0,2
suburbs,0,2,0,0,0,0,2
discussions,0,0,0,2,0,0,2
subsystem,0,0,0,0,2,0,2
coworkers,0,0,0,0,0,2,2
discretetime,0,0,0,2,0,0,2
substitutes,0,1,0,0,0,1,2
substitute,0,0,0,0,2,0,2
substitutability,0,1,0,0,0,1,2
criticisms,0,0,1,0,1,0,2
discrepancies,0,0,0,1,0,1,2
successfully,0,0,0,1,1,0,2
suffice,0,0,0,0,2,0,2
datagenerating,1,0,0,0,1,0,2
supplemented,0,0,0,1,1,0,2
costsharing,0,0,1,0,1,0,2
council,0,0,0,2,0,0,2
dissection,0,0,0,0,0,2,2
supplyside,0,0,1,0,0,1,2
counterintuitive,0,0,1,0,0,1,2
displaying,0,0,1,1,0,0,2
supervised,2,0,0,0,0,0,2
spatially,1,0,0,1,0,0,2
counties,2,0,0,0,0,0,2
sparser,0,1,0,0,1,0,2
summary,0,0,0,2,0,0,2
sultanate,0,0,0,2,0,0,2
covariances,0,0,0,0,0,2,2
covariateadapted,0,0,0,0,2,0,2
crop,2,0,0,0,0,0,2
crosscountry,1,1,0,0,0,0,2
dfm,0,0,0,0,2,0,2
struggles,0,1,0,0,0,1,2
stunting,0,2,0,0,0,0,2
discordancy,2,0,0,0,0,0,2
cushion,0,1,1,0,0,0,2
discontinuous,0,2,0,0,0,0,2
spirals,0,0,2,0,0,0,2
discontinuities,0,0,0,0,2,0,2
dantzigwolfe,2,0,0,0,0,0,2
crosssection,0,1,1,0,0,0,2
dark,0,1,0,0,1,0,2
darker,0,0,0,0,2,0,2
dataanalysis,0,0,0,0,2,0,2
splitthencombine,2,0,0,0,0,0,2
splitting,2,0,0,0,0,0,2
databases,0,0,0,2,0,0,2
curb,0,0,1,0,0,1,2
discordant,2,0,0,0,0,0,2
discounted,0,0,2,0,0,0,2
subclasses,0,0,0,2,0,0,2
subgroup,0,1,0,1,0,0,2
discourse,0,0,0,0,2,0,2
speeds,0,1,0,0,1,0,2
ctrws,0,0,0,2,0,0,2
ctr,0,0,0,0,0,2,2
cryptocurrencies,0,0,0,2,0,0,2
crunchbase,0,2,0,0,0,0,2
subordinated,0,0,0,2,0,0,2
crude,0,0,0,1,0,1,2
subscriptionbased,2,0,0,0,0,0,2
crra,0,0,2,0,0,0,2
specifies,0,0,1,0,0,1,2
crowd,0,0,0,0,2,0,2
delayed,1,0,0,0,1,0,2
oregon,0,2,0,0,0,0,2
constitute,0,1,0,0,1,0,2
attached,0,1,0,1,0,0,2
ascribe,0,0,0,2,0,0,2
aside,0,0,0,2,0,0,2
aspect,1,0,0,1,0,0,2
valued,1,0,1,0,0,0,2
assistance,0,0,0,2,0,0,2
associate,0,0,1,0,1,0,2
associations,0,0,1,1,0,0,2
assurance,0,0,0,0,0,2,2
atfm,0,2,0,0,0,0,2
attachment,0,0,0,1,1,0,2
articulated,0,2,0,0,0,0,2
attacker,1,0,0,1,0,0,2
vaccinate,0,0,0,0,2,0,2
attain,0,1,0,1,0,0,2
attainment,0,1,0,0,0,1,2
attempt,2,0,0,0,0,0,2
attendance,1,0,1,0,0,0,2
attractive,0,0,1,0,1,0,2
audience,0,0,0,2,0,0,2
augment,0,0,0,0,0,2,2
arts,0,0,1,0,1,0,2
variates,0,0,0,0,2,0,2
utilise,1,0,0,1,0,0,2
verified,0,1,1,0,0,0,2
anova,0,0,2,0,0,0,2
answering,0,0,2,0,0,0,2
answers,1,0,0,0,0,1,2
anticipate,0,0,0,0,0,2,2
anticipated,1,0,0,0,1,0,2
anything,0,0,1,0,1,0,2
vertical,0,0,2,0,0,0,2
apparent,1,0,0,0,0,1,2
versa,0,1,0,0,0,1,2
approx,0,0,0,0,0,2,2
arrive,1,0,1,0,0,0,2
approximating,0,0,0,2,0,0,2
vectorspace,0,0,0,0,2,0,2
aptitude,0,0,2,0,0,0,2
vcbacked,0,0,0,2,0,0,2
arbitrarily,1,0,0,1,0,0,2
architectural,0,0,0,2,0,0,2
architectures,0,0,0,0,1,1,2
varieties,1,0,1,0,0,0,2
argument,0,0,0,1,1,0,2
utilising,1,0,0,1,0,0,2
australia,1,0,0,0,1,0,2
violation,0,0,0,1,0,1,2
begin,0,1,0,0,1,0,2
unobservables,2,0,0,0,0,0,2
unobservable,0,1,0,0,0,1,2
bankruns,0,0,0,0,0,2,2
baseball,0,2,0,0,0,0,2
universally,0,0,0,0,2,0,2
beating,0,0,0,0,2,0,2
bed,2,0,0,0,0,0,2
uniqueness,0,0,1,1,0,0,2
began,0,0,0,0,2,0,2
unionization,0,0,0,0,2,0,2
unprecedented,0,1,0,0,0,1,2
uninformed,0,0,0,0,1,1,2
behaviours,0,0,0,1,0,1,2
beings,0,0,0,0,0,2,2
unifies,0,0,1,0,0,1,2
believe,1,0,0,1,0,0,2
unicef,2,0,0,0,0,0,2
unexplained,0,2,0,0,0,0,2
unequal,0,0,0,0,0,2,2
believes,0,0,0,2,0,0,2
band,0,1,0,0,0,1,2
unreasonable,0,0,1,0,1,0,2
australian,0,0,1,1,0,0,2
urbanrural,1,0,0,0,1,0,2
austria,2,0,0,0,0,0,2
usercontent,0,0,0,1,1,0,2
usercentric,0,0,0,1,1,0,2
autocorrelation,0,0,0,0,0,2,2
automates,0,0,0,0,2,0,2
averaged,0,0,2,0,0,0,2
usability,0,0,1,0,0,1,2
usa,0,0,1,0,1,0,2
averages,0,1,1,0,0,0,2
avoids,0,0,0,0,0,2,2
ballots,0,0,0,1,1,0,2
upward,0,1,0,1,0,0,2
uptake,0,0,0,2,0,0,2
upstream,0,0,1,0,0,1,2
award,0,0,1,1,0,0,2
axiomatic,0,1,0,1,0,0,2
backgrounds,0,1,1,0,0,0,2
ballot,0,0,0,1,1,0,2
untreated,0,2,0,0,0,0,2
unsustainable,1,0,1,0,0,0,2
violating,0,1,0,1,0,0,2
annotating,0,0,0,2,0,0,2
consolidation,0,0,0,0,0,2,2
adaptability,0,0,0,0,1,1,2
acknowledges,1,1,0,0,0,0,2
acolumn,0,0,0,2,0,0,2
acting,1,0,0,0,1,0,2
words,1,0,0,1,0,0,2
acts,0,0,0,0,1,1,2
wishes,1,0,0,0,0,1,2
wisdom,1,0,0,1,0,0,2
actualised,0,0,0,2,0,0,2
winners,0,0,0,1,1,0,2
adaptable,0,0,1,1,0,0,2
workhorse,1,0,0,1,0,0,2
adcampaign,0,2,0,0,0,0,2
add,0,0,1,1,0,0,2
adequately,0,0,1,1,0,0,2
widelyused,0,0,1,0,0,1,2
adjacent,0,0,0,1,0,1,2
administer,0,0,0,0,2,0,2
whitecollar,0,0,0,0,0,2,2
white,0,0,0,0,1,1,2
whilst,1,0,0,1,0,0,2
workforce,0,2,0,0,0,0,2
ace,2,0,0,0,0,0,2
wellstudied,2,0,0,0,0,0,2
absorbing,0,0,0,0,0,2,2
zip,0,0,1,1,0,0,2
zinss,0,0,0,2,0,0,2
abandonment,0,0,1,0,0,1,2
younger,0,0,0,0,0,2,2
young,0,0,2,0,0,0,2
abroad,1,0,1,0,0,0,2
yij,2,0,0,0,0,0,2
abrupt,0,0,1,1,0,0,2
yielded,0,0,0,1,0,1,2
yearonyear,1,0,0,0,1,0,2
accounted,0,1,0,1,0,0,2
abuse,1,0,0,0,1,0,2
academia,0,0,0,1,1,0,2
wtp,0,0,0,2,0,0,2
wrong,0,1,0,0,1,0,2
wpaigh,0,0,0,2,0,0,2
accelerating,0,0,0,1,0,1,2
worsening,0,1,0,1,0,0,2
accommodate,0,0,0,1,1,0,2
worlds,0,1,0,0,0,1,2
administrators,0,0,1,0,0,1,2
wellseparated,0,0,1,0,0,1,2
analogies,1,0,0,0,1,0,2
volatile,1,0,0,0,0,1,2
vots,0,0,2,0,0,0,2
alphabetical,0,0,0,2,0,0,2
volunteers,1,1,0,0,0,0,2
volunteering,2,0,0,0,0,0,2
alphalevel,0,0,2,0,0,0,2
altering,0,1,1,0,0,0,2
alternate,1,1,0,0,0,0,2
volatilitymanaged,0,0,2,0,0,0,2
altruism,0,0,0,1,1,0,2
altruists,0,0,0,0,2,0,2
aligns,0,0,0,0,0,2,2
ambitions,0,1,1,0,0,0,2
vmm,2,0,0,0,0,0,2
amid,0,0,0,0,1,1,2
amm,0,0,2,0,0,0,2
visits,0,1,0,1,0,0,2
visiting,0,0,0,0,2,0,2
virtually,0,1,0,0,1,0,2
virtual,0,0,0,0,1,1,2
amplify,0,1,0,0,0,1,2
alleviation,0,0,0,0,2,0,2
aka,1,0,0,0,0,1,2
admit,0,1,1,0,0,0,2
weaknesses,0,0,1,0,1,0,2
adversely,1,1,0,0,0,0,2
advertiser,0,0,0,0,2,0,2
weighing,0,0,0,1,1,0,2
weeks,1,1,0,0,0,0,2
advisors,0,0,0,0,1,1,2
wedge,0,0,2,0,0,0,2
webshops,0,0,2,0,0,0,2
webbased,2,0,0,0,0,0,2
advocating,0,0,0,1,1,0,2
agencydriven,0,0,0,0,2,0,2
ais,1,0,0,0,0,1,2
weaker,0,1,0,0,1,0,2
agglomeration,0,0,1,0,1,0,2
wave,2,0,0,0,0,0,2
agreements,0,0,1,0,0,1,2
watches,0,1,0,0,1,0,2
agrees,1,0,0,1,0,0,2
warning,0,0,1,0,1,0,2
warming,0,0,0,0,1,1,2
airbnb,0,2,0,0,0,0,2
belong,0,0,2,0,0,0,2
beneficiaries,1,0,0,1,0,0,2
underscoring,0,0,0,0,0,2,2
tighter,1,1,0,0,0,0,2
closer,0,0,1,0,0,1,2
coalitions,0,0,0,2,0,0,2
cocaine,0,0,2,0,0,0,2
cochrans,0,0,0,2,0,0,2
cocreation,0,0,0,0,2,0,2
timefrequency,0,0,0,0,0,2,2
timechanged,0,0,2,0,0,0,2
codes,0,0,1,1,0,0,2
timber,0,0,0,0,2,0,2
coding,0,0,1,0,1,0,2
todays,0,0,0,0,2,0,2
cognitively,0,0,0,2,0,0,2
coin,0,0,0,2,0,0,2
tied,0,0,0,0,1,1,2
tiebreaking,1,0,0,1,0,0,2
tiebreakers,2,0,0,0,0,0,2
tick,0,0,2,0,0,0,2
coking,0,2,0,0,0,0,2
threestep,1,1,0,0,0,0,2
collateral,0,0,2,0,0,0,2
climateeconomy,0,0,1,1,0,0,2
classify,0,0,0,1,1,0,2
thousands,0,1,0,1,0,0,2
chemicals,1,0,0,0,0,1,2
dream,0,0,2,0,0,0,2
tracing,0,0,1,1,0,0,2
traced,0,0,0,2,0,0,2
tpr,0,0,0,2,0,0,2
tpb,0,0,0,2,0,0,2
chances,0,2,0,0,0,0,2
charge,0,1,0,0,1,0,2
cheapest,0,0,0,0,0,2,2
check,1,0,0,0,0,1,2
chemistry,0,0,1,1,0,0,2
clarifies,0,1,0,0,0,1,2
chess,0,0,0,2,0,0,2
chip,1,0,1,0,0,0,2
circumstances,0,1,0,0,1,0,2
citations,1,0,0,1,0,0,2
toolbox,0,0,1,0,1,0,2
tone,0,0,0,0,2,0,2
citizenship,0,2,0,0,0,0,2
tokens,0,0,1,1,0,0,2
toilets,0,0,0,2,0,0,2
collect,0,0,2,0,0,0,2
thousand,0,0,0,1,0,1,2
underperforms,0,0,2,0,0,0,2
configuration,2,0,0,0,0,0,2
temporally,1,1,0,0,0,0,2
telecom,0,0,0,0,2,0,2
tees,0,0,0,0,0,2,2
teebft,0,0,0,0,0,2,2
tee,0,0,0,0,0,2,2
technologyspecific,0,0,0,0,1,1,2
computes,2,0,0,0,0,0,2
tech,0,0,0,1,0,1,2
confidential,0,0,0,2,0,0,2
confirming,0,2,0,0,0,0,2
compositions,0,1,0,0,0,1,2
confiscation,0,1,1,0,0,0,2
conflation,0,0,0,0,2,0,2
confounded,1,0,0,0,0,1,2
confronted,0,1,0,1,0,0,2
tau,0,0,0,0,0,2,2
taste,0,0,1,1,0,0,2
connects,0,0,0,0,0,2,2
consequential,0,0,1,0,1,0,2
tangible,0,0,0,2,0,0,2
compounds,0,1,0,0,1,0,2
composed,1,1,0,0,0,0,2
thompson,0,1,0,1,0,0,2
textiteven,0,0,0,0,0,2,2
colleges,0,0,1,0,0,1,2
collusionresistance,0,0,0,0,2,0,2
collusive,0,0,0,0,0,2,2
combat,0,0,0,1,1,0,2
commercially,1,0,0,0,1,0,2
commitment,0,0,2,0,0,0,2
commitments,0,1,0,1,0,0,2
committees,0,0,0,2,0,0,2
texts,0,0,1,1,0,0,2
textitchoice,0,0,2,0,0,0,2
completeness,1,0,0,0,0,1,2
textdata,0,0,0,0,2,0,2
communicating,0,0,1,0,0,1,2
communications,0,1,0,0,1,0,2
comparability,0,1,1,0,0,0,2
compensate,0,0,0,0,0,2,2
territory,0,0,2,0,0,0,2
compensationbased,0,0,0,0,0,2,2
competitiveness,0,0,0,1,1,0,2
tennis,0,0,0,2,0,0,2
centurylong,0,0,0,2,0,0,2
cents,0,0,0,2,0,0,2
tracts,0,0,1,1,0,0,2
twice,0,1,0,0,1,0,2
typeierror,0,0,2,0,0,0,2
bloc,0,0,0,0,2,0,2
bodies,0,0,1,1,0,0,2
twotier,0,0,0,0,0,2,2
bonds,0,0,0,2,0,0,2
twopopulation,0,0,0,0,2,0,2
bookmakers,0,0,0,0,2,0,2
twofold,1,1,0,0,0,0,2
twodimensional,0,0,1,0,1,0,2
borders,1,0,1,0,0,0,2
blackwell,0,0,1,0,0,1,2
tweets,2,0,0,0,0,0,2
tvp,1,0,0,1,0,0,2
borrowed,0,0,2,0,0,0,2
turnover,0,0,1,0,1,0,2
borrowing,0,0,0,0,1,1,2
turbine,2,0,0,0,0,0,2
branch,0,0,1,1,0,0,2
try,0,2,0,0,0,0,2
truth,0,0,0,1,0,1,2
blind,0,0,0,1,1,0,2
bivariate,0,2,0,0,0,0,2
tradable,0,2,0,0,0,0,2
bft,0,0,0,0,0,2,2
bernoulli,0,0,0,0,1,1,2
bestarm,0,0,0,0,2,0,2
underlining,0,0,2,0,0,0,2
underground,0,2,0,0,0,0,2
underfive,1,0,0,0,0,1,2
bestofbothworlds,0,0,0,2,0,0,2
bet,0,0,0,1,1,0,2
bets,1,0,0,0,1,0,2
unconventional,2,0,0,0,0,0,2
biasaware,2,0,0,0,0,0,2
bitcoin,0,1,0,0,1,0,2
unchanged,1,0,0,0,0,1,2
biascorrected,0,1,0,0,1,0,2
bibliometric,0,0,0,1,1,0,2
bidirectional,0,1,0,0,1,0,2
big,1,0,0,1,0,0,2
biggest,0,2,0,0,0,0,2
ump,2,0,0,0,0,0,2
bimodal,0,0,0,0,0,2,2
biological,1,0,0,1,0,0,2
breaking,2,0,0,0,0,0,2
trunk,0,2,0,0,0,0,2
truly,1,0,0,0,1,0,2
catastrophic,0,0,0,2,0,0,2
calinskiharabasz,0,0,0,0,0,2,2
calvo,0,0,0,2,0,0,2
capitalist,0,0,1,0,0,1,2
career,0,0,0,0,1,1,2
careful,0,0,0,1,1,0,2
transboundary,0,2,0,0,0,0,2
casel,0,0,0,2,0,0,2
catastrophes,0,2,0,0,0,0,2
trajectories,0,0,0,0,2,0,2
catonsville,2,0,0,0,0,0,2
trivial,0,0,2,0,0,0,2
causality,0,0,0,1,1,0,2
causally,0,2,0,0,0,0,2
cccs,0,0,0,0,0,2,2
censorship,0,0,0,0,2,0,2
trades,0,0,1,0,1,0,2
centralised,0,0,2,0,0,0,2
trademarks,2,0,0,0,0,0,2
trademark,2,0,0,0,0,0,2
centres,0,0,0,1,1,0,2
californias,1,0,0,0,1,0,2
calibrating,1,0,0,0,1,0,2
translated,0,1,0,0,0,1,2
translates,1,0,0,0,0,1,2
bridges,0,0,0,1,0,1,2
brief,0,0,1,1,0,0,2
triangular,1,1,0,0,0,0,2
trials,0,0,0,0,0,2,2
broken,0,0,0,1,1,0,2
brought,1,1,0,0,0,0,2
brouwer,0,0,2,0,0,0,2
bubble,1,0,0,1,0,0,2
budgetbalanced,0,1,1,0,0,0,2
tree,1,0,0,0,1,0,2
budgeting,0,0,0,0,0,2,2
treating,0,0,1,0,0,1,2
bulgaria,0,2,0,0,0,0,2
bus,0,2,0,0,0,0,2
buying,1,0,0,0,0,1,2
cake,0,0,0,2,0,0,2
calculating,1,0,0,1,0,0,2
calculations,0,0,2,0,0,0,2
transmission,0,0,1,0,1,0,2
smoothed,0,1,0,0,1,0,2
sem,0,0,2,0,0,0,2
smoking,1,1,0,0,0,0,2
lexicographic,2,0,0,0,0,0,2
lends,0,1,0,1,0,0,2
length,1,0,1,0,0,0,2
lesser,0,0,0,0,2,0,2
lessstudied,1,0,0,1,0,0,2
probit,0,1,0,1,0,0,2
probation,0,0,2,0,0,0,2
leveraged,0,0,0,2,0,0,2
leverages,1,1,0,0,0,0,2
levy,1,0,0,1,0,0,2
prizes,0,1,1,0,0,0,2
liability,1,0,0,0,1,0,2
leaves,0,0,0,1,0,1,2
liberal,0,0,0,0,2,0,2
prisoners,0,1,0,0,0,1,2
lifting,0,0,0,0,2,0,2
limpets,2,0,0,0,0,0,2
lin,0,0,0,0,0,2,2
prioritize,0,0,0,0,2,0,2
linearization,0,2,0,0,0,0,2
liquidations,0,0,2,0,0,0,2
llama,0,0,0,1,1,0,2
principalagent,0,0,0,0,0,2,2
proceed,2,0,0,0,0,0,2
processspecialized,0,0,0,0,0,2,2
localities,2,0,0,0,0,0,2
profound,0,0,0,1,1,0,2
prone,1,1,0,0,0,0,2
promotions,0,0,0,2,0,0,2
knowing,0,1,0,1,0,0,2
kurtosis,0,0,0,0,0,2,2
laboratory,0,1,0,0,0,1,2
lackner,0,0,0,2,0,0,2
ladder,0,0,0,0,0,2,2
landbased,1,0,1,0,0,0,2
progressing,1,0,0,0,1,0,2
laplacian,0,0,0,0,0,2,2
latenight,0,0,0,0,0,2,2
procyclical,0,0,2,0,0,0,2
latin,0,0,0,0,0,2,2
lattice,2,0,0,0,0,0,2
launch,0,0,0,0,0,2,2
launched,0,1,0,0,0,1,2
lct,0,2,0,0,0,0,2
leader,0,1,0,0,0,1,2
league,1,1,0,0,0,0,2
learnability,2,0,0,0,0,0,2
learner,0,0,1,0,0,1,2
learns,1,0,0,0,0,1,2
loans,0,0,0,0,1,1,2
located,0,0,0,2,0,0,2
drift,0,0,1,0,0,1,2
preclude,0,0,1,0,1,0,2
mab,2,0,0,0,0,0,2
machinelearning,1,0,0,0,1,0,2
macro,0,0,0,0,1,1,2
madagascars,0,0,0,2,0,0,2
predictable,0,0,0,1,0,1,2
magnitudes,0,0,1,0,0,1,2
predetermined,1,0,1,0,0,0,2
mainsections,0,0,2,0,0,0,2
predatorprey,0,0,0,2,0,0,2
precovid,1,1,0,0,0,0,2
precisionbased,0,2,0,0,0,0,2
predisruption,0,0,0,0,2,0,2
maintains,1,0,1,0,0,0,2
maintenance,0,0,0,0,1,1,2
malagasy,0,0,0,2,0,0,2
precipitation,2,0,0,0,0,0,2
malawi,0,2,0,0,0,0,2
practitionerintheloop,0,0,0,0,0,2,2
practitioner,0,0,0,0,1,1,2
manager,0,0,0,2,0,0,2
mandates,0,0,0,2,0,0,2
powers,0,1,0,0,0,1,2
lyapunov,0,2,0,0,0,0,2
predominant,1,0,0,0,0,1,2
locational,0,0,2,0,0,0,2
lot,1,1,0,0,0,0,2
lockdowns,2,0,0,0,0,0,2
log,0,0,0,1,1,0,2
prevented,1,0,1,0,0,0,2
logistical,0,0,0,0,2,0,2
longer,0,0,0,1,0,1,2
pretest,0,0,0,0,0,2,2
longlived,0,2,0,0,0,0,2
prestigious,0,0,0,2,0,0,2
longshortterm,0,1,0,0,1,0,2
preserve,1,0,0,0,0,1,2
lotteries,0,0,1,1,0,0,2
predominantly,0,0,0,1,1,0,2
preparation,0,0,0,0,2,0,2
prenatal,0,2,0,0,0,0,2
lowers,0,0,0,0,0,2,2
preinerstorfer,0,0,0,0,2,0,2
lowfrequency,0,1,0,1,0,0,2
lowquality,0,2,0,0,0,0,2
lsif,0,0,0,0,0,2,2
lucas,0,0,0,2,0,0,2
preestimation,0,2,0,0,0,0,2
preestablished,2,0,0,0,0,0,2
kinds,1,0,0,1,0,0,2
proofofconcept,1,0,0,1,0,0,2
kilometers,0,0,0,0,0,2,2
interchangeable,0,0,0,1,0,1,2
racial,0,0,0,0,1,1,2
insufficient,0,1,0,0,0,1,2
quota,0,1,0,1,0,0,2
integrals,0,0,1,1,0,0,2
integrations,0,0,0,2,0,0,2
intensify,0,0,0,0,2,0,2
questionnaires,0,0,0,2,0,0,2
intent,0,0,0,2,0,0,2
questionable,0,0,2,0,0,0,2
interbank,0,0,0,0,0,2,2
quarterly,1,0,0,1,0,0,2
radius,1,0,1,0,0,0,2
interconnected,1,1,0,0,0,0,2
interconnectedness,0,0,0,1,0,1,2
quantiles,1,0,1,0,0,0,2
interdependencies,1,0,0,0,0,1,2
interface,0,0,0,0,0,2,2
internalize,0,0,0,0,0,2,2
quantifiable,0,0,0,0,2,0,2
qualitatively,0,2,0,0,0,0,2
interregional,0,0,2,0,0,0,2
interstellar,0,2,0,0,0,0,2
radio,0,0,0,0,2,0,2
instant,0,0,0,0,2,0,2
propensities,0,0,0,0,0,2,2
infinitely,0,0,0,1,1,0,2
individuallevel,2,0,0,0,0,0,2
individualspecific,0,0,0,0,2,0,2
rationalizable,0,0,0,0,0,2,2
indonesia,1,1,0,0,0,0,2
inducing,0,0,0,1,0,1,2
inefficiencies,1,0,1,0,0,0,2
infant,2,0,0,0,0,0,2
rateoptimal,0,2,0,0,0,0,2
infinitedimensional,0,1,1,0,0,0,2
infinitehorizon,0,0,0,0,0,2,2
influenzalike,0,0,2,0,0,0,2
rainfall,2,0,0,0,0,0,2
influx,0,0,0,2,0,0,2
informationcredible,0,0,0,0,0,2,2
informs,0,0,0,0,0,2,2
infrastructures,0,0,1,0,0,1,2
ingredients,1,0,0,1,0,0,2
randomizes,0,0,0,1,0,1,2
